True Positives: 0, False Positives: 2719, False Negatives: 229, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019706570484831345,
True Positives: 0, False Positives: 2824, False Negatives: 238, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019715078058935364,
True Positives: 0, False Positives: 2942, False Negatives: 248, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019778455185587518,
True Positives: 0, False Positives: 3047, False Negatives: 257, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01977994208569117,
True Positives: 0, False Positives: 3160, False Negatives: 267, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019749287348395397,
True Positives: 0, False Positives: 3267, False Negatives: 276, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01976869506530499,
True Positives: 0, False Positives: 3381, False Negatives: 286, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01974648108400695,
True Positives: 0, False Positives: 3485, False Negatives: 295, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019743075691631175,
True Positives: 0, False Positives: 3605, False Negatives: 305, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019674853436156468,
True Positives: 0, False Positives: 3711, False Negatives: 314, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01970792608290429,
True Positives: 0, False Positives: 3824, False Negatives: 324, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01971942488898442,
True Positives: 0, False Positives: 3926, False Negatives: 333, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01976050101210557,
True Positives: 0, False Positives: 4041, False Negatives: 343, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019743217965105808,
True Positives: 0, False Positives: 4146, False Negatives: 352, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019790476787022726,
True Positives: 0, False Positives: 4263, False Negatives: 362, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019848507958661218,
True Positives: 0, False Positives: 4367, False Negatives: 371, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019875946043219968,
True Positives: 0, False Positives: 4475, False Negatives: 381, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019934551695625958,
True Positives: 0, False Positives: 4570, False Negatives: 390, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019928625453930857,
True Positives: 0, False Positives: 4679, False Negatives: 400, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019947346472586103,
True Positives: 0, False Positives: 4774, False Negatives: 410, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019928549075702018,
True Positives: 0, False Positives: 4840, False Negatives: 419, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01991338287359749,
True Positives: 0, False Positives: 4894, False Negatives: 429, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019903807608472077,
True Positives: 0, False Positives: 4938, False Negatives: 438, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019879881548029135,
True Positives: 0, False Positives: 4987, False Negatives: 448, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019877390131780106,
True Positives: 0, False Positives: 5029, False Negatives: 457, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019903025306431444,
True Positives: 0, False Positives: 5064, False Negatives: 466, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019906056676046033,
True Positives: 0, False Positives: 5104, False Negatives: 476, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01993144245176047,
True Positives: 0, False Positives: 5138, False Negatives: 485, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.0199054665031767,
True Positives: 0, False Positives: 5172, False Negatives: 494, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019912406372549808,
True Positives: 0, False Positives: 5211, False Negatives: 504, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019923814567539645,
True Positives: 0, False Positives: 5250, False Negatives: 514, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019912431931979634,
True Positives: 0, False Positives: 5284, False Negatives: 523, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01991429233277316,
True Positives: 0, False Positives: 5322, False Negatives: 533, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019907399401579835,
True Positives: 0, False Positives: 5355, False Negatives: 542, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019911220263915095,
True Positives: 0, False Positives: 5394, False Negatives: 552, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019893585936672578,
True Positives: 0, False Positives: 5429, False Negatives: 561, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01989225659365368,
True Positives: 0, False Positives: 5467, False Negatives: 571, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019895315716354438,
True Positives: 0, False Positives: 5502, False Negatives: 580, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019897597288004835,
